Respondent ID,Choice Set ID,Item,Selection
1,1,B,1
1,1,C,0
1,1,D,0
1,1,E,-1
1,2,A,0
1,2,B,0
1,2,D,-1
1,2,E,1
1,3,A,1
1,3,B,-1
1,3,C,0
1,3,D,0
1,4,A,0
1,4,B,1
1,4,C,-1
1,4,E,0
1,5,A,0
1,5,C,1
1,5,D,0
1,5,E,-1
2,1,B,0
2,1,C,-1
2,1,D,0
2,1,E,1
2,2,A,0
2,2,B,0
2,2,D,-1
2,2,E,1
2,3,A,-1
2,3,B,0
2,3,C,0
2,3,D,1
2,4,A,1
2,4,B,-1
2,4,C,0
2,4,E,0
2,5,A,1
2,5,C,-1
2,5,D,0
2,5,E,0
3,1,B,-1
3,1,C,0
3,1,D,0
3,1,E,1
3,2,A,0
3,2,B,1
3,2,D,-1
3,2,E,0
3,3,A,1
3,3,B,0
3,3,C,-1
3,3,D,0
3,4,A,1
3,4,B,0
3,4,C,-1
3,4,E,0
3,5,A,1
3,5,C,0
3,5,D,0
3,5,E,-1
4,1,B,1
4,1,C,0
4,1,D,-1
4,1,E,0
4,2,A,0
4,2,B,0
4,2,D,1
4,2,E,-1
4,3,A,-1
4,3,B,0
4,3,C,0
4,3,D,1
4,4,A,-1
4,4,B,0
4,4,C,1
4,4,E,0
4,5,A,1
4,5,C,0
4,5,D,-1
4,5,E,0
5,1,B,1
5,1,C,0
5,1,D,0
5,1,E,-1
5,2,A,-1
5,2,B,1
5,2,D,0
5,2,E,0
5,3,A,-1
5,3,B,0
5,3,C,0
5,3,D,1
5,4,A,0
5,4,B,1
5,4,C,-1
5,4,E,0
5,5,A,0
5,5,C,1
5,5,D,-1
5,5,E,0
