Respondent ID,Choice Set ID,Attribute,Attribute Level,Selection
1,1,A,A2,1
1,1,B,B2,0
1,1,C,C3,-1
1,2,A,A2,1
1,2,B,B2,0
1,2,C,C2,-1
1,3,A,A2,0
1,3,B,B1,1
1,3,C,C1,-1
1,4,A,A1,0
1,4,B,B1,-1
1,4,C,C1,1
1,5,A,A1,1
1,5,B,B1,-1
1,5,C,C2,0
1,6,A,A2,0
1,6,B,B2,-1
1,6,C,C1,1
1,7,A,A1,0
1,7,B,B2,1
1,7,C,C1,-1
1,8,A,A1,0
1,8,B,B2,1
1,8,C,C2,-1
1,9,A,A2,-1
1,9,B,B1,1
1,9,C,C3,0
1,10,A,A1,-1
1,10,B,B2,1
1,10,C,C3,0
1,11,A,A1,0
1,11,B,B1,1
1,11,C,C3,-1
1,12,A,A2,0
1,12,B,B1,-1
1,12,C,C2,1
2,1,A,A2,0
2,1,B,B2,-1
2,1,C,C3,1
2,2,A,A2,1
2,2,B,B2,0
2,2,C,C2,-1
2,3,A,A2,-1
2,3,B,B1,1
2,3,C,C1,0
2,4,A,A1,-1
2,4,B,B1,1
2,4,C,C1,0
2,5,A,A1,-1
2,5,B,B1,1
2,5,C,C2,0
2,6,A,A2,1
2,6,B,B2,0
2,6,C,C1,-1
2,7,A,A1,1
2,7,B,B2,-1
2,7,C,C1,0
2,8,A,A1,-1
2,8,B,B2,0
2,8,C,C2,1
2,9,A,A2,-1
2,9,B,B1,0
2,9,C,C3,1
2,10,A,A1,1
2,10,B,B2,-1
2,10,C,C3,0
2,11,A,A1,0
2,11,B,B1,1
2,11,C,C3,-1
2,12,A,A2,0
2,12,B,B1,1
2,12,C,C2,-1
3,1,A,A2,0
3,1,B,B2,1
3,1,C,C3,-1
3,2,A,A2,0
3,2,B,B2,1
3,2,C,C2,-1
3,3,A,A2,1
3,3,B,B1,0
3,3,C,C1,-1
3,4,A,A1,1
3,4,B,B1,0
3,4,C,C1,-1
3,5,A,A1,0
3,5,B,B1,-1
3,5,C,C2,1
3,6,A,A2,0
3,6,B,B2,1
3,6,C,C1,-1
3,7,A,A1,0
3,7,B,B2,-1
3,7,C,C1,1
3,8,A,A1,0
3,8,B,B2,1
3,8,C,C2,-1
3,9,A,A2,0
3,9,B,B1,1
3,9,C,C3,-1
3,10,A,A1,-1
3,10,B,B2,0
3,10,C,C3,1
3,11,A,A1,-1
3,11,B,B1,1
3,11,C,C3,0
3,12,A,A2,-1
3,12,B,B1,0
3,12,C,C2,1
4,1,A,A2,0
4,1,B,B2,1
4,1,C,C3,-1
4,2,A,A2,0
4,2,B,B2,1
4,2,C,C2,-1
4,3,A,A2,1
4,3,B,B1,0
4,3,C,C1,-1
4,4,A,A1,0
4,4,B,B1,-1
4,4,C,C1,1
4,5,A,A1,0
4,5,B,B1,1
4,5,C,C2,-1
4,6,A,A2,0
4,6,B,B2,1
4,6,C,C1,-1
4,7,A,A1,-1
4,7,B,B2,0
4,7,C,C1,1
4,8,A,A1,-1
4,8,B,B2,1
4,8,C,C2,0
4,9,A,A2,-1
4,9,B,B1,1
4,9,C,C3,0
4,10,A,A1,-1
4,10,B,B2,1
4,10,C,C3,0
4,11,A,A1,1
4,11,B,B1,0
4,11,C,C3,-1
4,12,A,A2,1
4,12,B,B1,-1
4,12,C,C2,0
5,1,A,A2,0
5,1,B,B2,1
5,1,C,C3,-1
5,2,A,A2,0
5,2,B,B2,1
5,2,C,C2,-1
5,3,A,A2,-1
5,3,B,B1,0
5,3,C,C1,1
5,4,A,A1,-1
5,4,B,B1,1
5,4,C,C1,0
5,5,A,A1,-1
5,5,B,B1,0
5,5,C,C2,1
5,6,A,A2,0
5,6,B,B2,1
5,6,C,C1,-1
5,7,A,A1,0
5,7,B,B2,1
5,7,C,C1,-1
5,8,A,A1,1
5,8,B,B2,0
5,8,C,C2,-1
5,9,A,A2,0
5,9,B,B1,-1
5,9,C,C3,1
5,10,A,A1,0
5,10,B,B2,1
5,10,C,C3,-1
5,11,A,A1,1
5,11,B,B1,0
5,11,C,C3,-1
5,12,A,A2,-1
5,12,B,B1,1
5,12,C,C2,0
